City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Date_readable
Cururupu,92,BR,1548733933,92,-1.82,-44.87,77.71,5.39,2019-01-29
Verkhoyansk,44,RU,1548733933,0,67.55,133.39,-51.71,0.25,2019-01-29
Anloga,20,GH,1548730800,88,5.79,0.9,80.6,8.05,2019-01-29
Dondo,75,MZ,1548730800,83,-19.62,34.74,77.0,8.75,2019-01-29
Kochki,8,RU,1548733934,69,54.33,80.49,-15.04,10.31,2019-01-29
Arraial do Cabo,0,BR,1548733934,88,-22.97,-42.02,77.4,15.68,2019-01-29
Nampula,40,MZ,1548730800,88,-15.12,39.26,71.6,5.82,2019-01-29
Shingu,40,JP,1548730800,42,33.72,135.99,46.4,20.8,2019-01-29
Cacule,20,BR,1548733935,76,-14.5,-42.22,71.32,9.98,2019-01-29
Coihaique,20,CL,1548730800,54,-45.58,-72.07,53.6,9.17,2019-01-29
Kamaishi,75,JP,1548730800,55,39.28,141.86,39.2,10.29,2019-01-29
Bonthe,0,SL,1548733936,91,7.53,-12.5,77.31,5.17,2019-01-29
Makhu,20,IN,1548730800,100,31.11,74.97,39.2,2.82,2019-01-29
Cap Malheureux,40,MU,1548730800,94,-19.98,57.61,77.0,6.73,2019-01-29
Chokurdakh,64,RU,1548733936,46,70.62,147.9,-28.76,15.01,2019-01-29
Kawerau,36,NZ,1548733937,70,-38.09,176.7,77.44,10.42,2019-01-29
Muros,75,ES,1548731580,93,42.77,-9.06,46.4,5.82,2019-01-29
Bozova,0,TR,1548732000,64,37.36,38.53,39.2,13.87,2019-01-29
Upernavik,56,GL,1548733937,98,72.79,-56.15,11.16,11.21,2019-01-29
Ust-Kuyga,36,RU,1548733937,0,70.0,135.55,-51.53,3.38,2019-01-29
El Rosario,75,MX,1548729780,77,22.99,-105.86,62.6,1.92,2019-01-29
Alofi,92,NU,1548733803,100,-19.06,-169.92,78.48,9.86,2019-01-29
Saint-Junien,90,FR,1548730800,100,45.89,0.9,35.6,2.24,2019-01-29
Mujiayingzi,8,CN,1548733938,26,42.12,118.78,34.92,11.88,2019-01-29
Jasper,76,US,1548731700,71,33.83,-87.28,55.94,5.28,2019-01-29
Saint-Pierre,0,FR,1548730800,100,48.95,4.24,33.8,9.17,2019-01-29
Paysandu,0,UY,1548733940,68,-32.32,-58.08,84.78,9.53,2019-01-29
Hashtrud,32,IR,1548733940,87,37.48,47.05,30.33,13.78,2019-01-29
Albanel,12,CA,1548733908,30,48.88,-72.44,-20.66,2.93,2019-01-29
Gilgit,20,PK,1548733940,76,35.92,74.31,-3.29,0.36,2019-01-29
